sno,title,nco_2015,nco_2004,division,sub_division,group,family
1,"Purser, Ship",1211.0300,1231.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers
2,"Finance Managers, Others",1211.9900,1231.9,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers
3,"General Manager, Bank",1211.0100,1307.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers
4,"General Manager, Insurance",1211.0200,1307.20,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers
5,"Working Proprietor, Construction/Proprietor, Construction",1120.1200,1213.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
6,"Director, Storage and Warehousing",1120.2800,1216.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
7,"Director, Construction",1120.1300,1213.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
8,"Working Proprietor, Lodging and Catering Services",1120.2900,1217.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
9,"Director, Mines",1120.1400,1213.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
10,"Director, Lodging and Catering Services/Director Food and Beverage Service",1120.3000,1217.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
11,"Managing Directors and Chief Executives, Others",1120.9900,1211.90,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
12,"Director, Quarry",1120.1500,1213.70,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
13,Executive Chef,1120.3100,1217.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
14,"Director, Well Drilling",1120.1600,1213.80,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
15,"Working Proprietor, Recreation and Entertainment",1120.3200,1218.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives
