sno,title,nco_2015,nco_2004,division,sub_division,group,family
2001,"Engine Tester, Helper, Aircraft",7232.0400,7232.40,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Aircraft Engine Mechanics and Repairers
2002,"Mechanic Aircraft Engine, Field Service/Filed Mechanic Aircraft",7232.0500,7232.50; 7232.70,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Aircraft Engine Mechanics and Repairers
2005,Airframe Erector,7232.0100,7232.10,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Aircraft Engine Mechanics and Repairers
2006,"Mechanic, Gas/Diesel Engine",7233.0600,7233.26,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2007,"Mechanic, Repairman (Domestic Appliances)",7233.2000,7233.58,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2008,"Mechanic, Earth Moving Machinery",7233.0700,7233.28,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2009,"Fitter, Stationery Steam Engine",7233.2100,7233.60,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2010,Mobile Equipment Maintenance,7233.0701,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2011,"Fitter, Marine",7233.2200,7233.62,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2012,"Mechanic, Road Roller",7233.0800,7233.30,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2013,"Fitter, Railway Carriage and Wagon",7233.2300,7233.63,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2014,"Mechanic, Turbine",7233.0900,7233.32,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2015,"Fitter, Loco",7233.2400,7233.64,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2016,"Mechanic, Stationery Steam Engine",7233.1000,7233.34,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2017,Loco Cleaner,7233.2500,7233.65,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2018,"Fitter, General",7233.0100,7233.10,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2019,"Mechanic, Maintenance, Chemical Plant/Technician, Maintenance, Chemical Plant",7233.1100,7233.36,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2020,"Fitter, Bicycle",7233.2600,7233.66,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2021,Maintenance Fitter – Mechanical,7233.0101,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2022,Millwright,7233.1200,7233.38,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2023,"Fitter, Signal",7233.2700,7233.70,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2024,Machinist,7233.0102,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2025,"Mechanic, Pump",7233.1300,7233.40,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2026,Agriculture Engineering Technician,7233.2800,7233.80,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2027,"Fitter Levelling, Alignment & Balancing",7233.0121,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2028,Plumber (Pumps & E/M Mechanic),7233.1301,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2029,Fitter: Hydraulic and Pneumatic System,7233.2901,,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2030,"Fitter, Bench",7233.0200,7233.20,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
2031,"Mechanic, Dairy Maintenance",7233.1400,7233.42,Craft and Related Trades Workers,"Metal, Machinery and Related Trades Workers",Machinery Mechanics and Repairers,Agricultural and Industrial Machinery Mechanics and Repairers
