sno,title,nco_2015,nco_2004,division,sub_division,group,family
2501,Delimer,7535.0600,7441.24,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,"Pelt Dressers, Tanners and Fellmongers"
2502,"Pelt Dressers, Tanners and Fell Mongers, Other",7535.9900,7441.90,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,"Pelt Dressers, Tanners and Fellmongers"
2509,"Laster, Hand",7536.0800,7442.32,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2510,Counter Moulder,7536.1200,7442.45,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2511,"Sole Stitcher, Hand",7536.1500,7442.60,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2512,"Heel Attacher, Hand (Footwear)",7536.1600,7442.65,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2513,"Trimmer, Hand",7536.1700,7442.70,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2514,Harness Maker,7536.1800,7442.72,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2515,Saddler,7536.1900,7442.75,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2516,"Leather Cutter, Hand",7536.2000,7442.76,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2517,"Stitcher, Hand",7536.2100,7442.78,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2518,"Assembler, Hand",7536.2200,7442.79,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2519,"Shoemaker, Hand",7536.0100,7442.10,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2520,Suitcase Maker,7536.2300,7442.80,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2521,"Shoemaker, Orthopaedic",7536.0200,7442.12,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2522,Purse Maker,7536.23007536.2400,7442.81,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2523,"Shoe Repairer, Cobbler/Shoemaker Cobbler",7536.0300,7442.14,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2524,Whip Maker,7536.2500,7442.82,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2525,Pattern Maker (Footwear),7536.0400,7442.16,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2526,Belt Maker,7536.2600,7442.83,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2527,"Cutter, Hand",7536.0500,7442.18,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2528,Horn Comb Maker (Hand),7536.2700,7442.85,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2529,"Skiver, Hand (Footwear)",7536.0600,7442.20,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2530,"Shoemaker and Related Workers, Other",7536.9900,7442.85,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Trades Workers,Shoemakers and Related Workers
2531,Deep Cell Attendant,7542.0800,7119.70,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2532,"Shotfirers and Blasters, Other",7542.9900,7112.90,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2533,Shotfirer,7542.0100,7112.10,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2534,Person Handling Explosives,7542.0101,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2535,Safety Lamp Checker,7542.0200,7119.10,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2536,"Cobber, Mica",7542.0300,7119.20,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2537,"Sickle Dresser, Mica",7542.0400,7119.30,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2538,"Screener, Mica",7542.0500,7119.40,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2539,"Knife Dresser, Mica",7542.0600,7119.50,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2540,"Film Splitter, Mica",7542.0700,7119.60,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Shotfirers and Blasters
2541,Functional Tester – Medical Devices,7543.0901,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2542,"Product Graders and Testers, Others",7543.9900,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2543,Functional Tester – RAC,7543.1001,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2544,Cloth Examiner/Fabric Checker,7543.0101,3152.10,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2545,Functional Tester – TV,7543.1002,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2546,QC Executive – Sewing Line,7543.0201,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2547,Safety Testing Technician – TV,7543.1003,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2548,Quality Assessor,7543.0202,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2549,Safety Testing Technician – RACW,7543.1004,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2550,"Examiner, (Footwear)/Quality Controller",7543.0300,3152.30,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2551,Performance Tester – RACW,7543.1005,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2552,Measurement Checker,7543.0301,3152.30,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2553,Performance Tester – TV,7543.1006,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2554,Inline Checker,7543.0302,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2555,Testing Technician,7543.1101,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2556,"Examiner, Dry Cleaning/Fabric Inspection Operator",7543.0400,3152.40,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2557,"Quality Inspector – Forged, Casted or Machined Components",7543.2001,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2558,"Examiner, Wood Working",7543.0500,3152.50,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2559,Quality Control Inspector – Calendering,7543.3001,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2560,Incoming QC Technician,7543.0701,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2561,Quality Control Inspector – Dimension Check,7543.3002,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2562,Final Product QC Technician,7543.0702,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2563,Quality Control Inspector – Extrusion,7543.3003,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
2564,Functional Tester,7543.0801,,Craft and Related Trades Workers,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Other Craft and Related Workers,Product Graders and Testers (Excluding Food and Beverages)
