sno,title,nco_2015,nco_2004,division,sub_division,group,family
501,Speech Therapist and Audiologist,2266.0100,3229.10,Professionals,Health Associate Professionals,Other Health Professionals,Audiologists and Speech Therapists
502,Speech Pathologist,2266.0200,3229.20,Professionals,Health Associate Professionals,Other Health Professionals,Audiologists and Speech Therapists
503,Voice Pathologist,2266.0300,3229.30,Professionals,Health Associate Professionals,Other Health Professionals,Audiologists and Speech Therapists
504,Speech Language Pathologist and Audiologist,2266.0401,,Professionals,Health Associate Professionals,Other Health Professionals,Audiologists and Speech Therapists
505,"Optometrists and Opticians, Other",2267.9900,3224.90,Professionals,Health Associate Professionals,Other Health Professionals,Optometrists and Ophthalmic Opticians
506,"Physicians and Surgeons, Other",2269.0400,2229.90,Professionals,Health Associate Professionals,Other Health Professionals,Health Professionals Not Elsewhere Classified
507,Orthotist and Prosthetist,2269.0500,3229.40,Professionals,Health Associate Professionals,Other Health Professionals,Health Professionals Not Elsewhere Classified
508,Orientation & Mobility Instructor,2269.0600,3229.50,Professionals,Health Associate Professionals,Other Health Professionals,Health Professionals Not Elsewhere Classified
509,"Medical and Health Technicians, Other",2269.0700,3229.90,Professionals,Health Associate Professionals,Other Health Professionals,Health Professionals Not Elsewhere Classified
510,Naturopath,2269.0100,2229.20,Professionals,Health Associate Professionals,Other Health Professionals,Health Professionals Not Elsewhere Classified
511,"Physician, Osteopathic",2269.0200,2229.30,Professionals,Health Associate Professionals,Other Health Professionals,Health Professionals Not Elsewhere Classified
512,"Physician, Sidha",2269.0300,2229.40,Professionals,Health Associate Professionals,Other Health Professionals,Health Professionals Not Elsewhere Classified
513,"Professors/Assistant Professors, Other",2310.9900,2310.90,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
514,"University and College Teacher, Arts Subjects/Professors/Assistant Professors, Arts",2310.0100,2310.10,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
515,"University and College Teacher, Commerce Subjects/Professors/Assistant Professors, Commerce Subjects",2310.0200,2310.15,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
516,"University and College Teacher, Management Subjects/Professors/Assistant Professors, Management Subjects",2310.0300,2310.18,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
517,"University and College Teacher, Law/Professors/Assistant Professors, Education",2310.0400,2310.20,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
518,"University and College Teacher, Law/Professors/Assistant Professors, Law",2310.0500,2310.30,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
519,"University and College Teacher, Science Subjects/Professors/Assistant Professors, Science Subjects",2310.0600,2310.40,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
520,"University and College Teacher, Engineering/ Professors/Assistant Professors, Engineering",2310.0700,2310.45,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
521,"University and College Teacher, Information Technology/Professors/Assistant Professors, Information Technology",2310.0800,2310.48,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
522,"University and College Teacher, Medicine and Surgery/Professors/Assistant Professors, Medicine and Surgery",2310.0900,2310.50,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
523,"University and College Teacher, Veterinary Science/Professors/Assistant Professors, Veterinary Science",2310.1000,2310.60,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
524,"University and College Teacher, Agricultural Subjects",2310.1100,2310.70,Professionals,Teaching Professionals,University and Higher Education Teachers,University and Higher Education Teachers
