sno,title,nco_2015,nco_2004,division,sub_division,group,family
1014,"Work Supervisor, Construction",3123.0100,7138.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1015,"Supervisor and Foreman, Insulation",3123.0200,7138.20,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1016,"Supervisor and Foreman, Plumbing and Pipe Fitting",3123.0300,7138.30,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1017,Plumbing Foreman,3123.0301,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1018,Plumbing Supervisor,3123.0302,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1019,"Electrical Supervisor, Wiring,",3123.0400,7138.40,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1020,"Supervisor and Foreman, Painting",3123.0500,7148.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1021,Painting and Surface Treatment Line In-Charge,3123.0600,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1022,Painting Supervisor,3123.0700,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1023,"Supervisors and Foremen and Related Trades Workers in Painting, Building Structure Cleaning, Other",3123.9900,7148.90,Technicians and Associate Professionals,Science and Engineering Associate Professionals,"Mining, Manufacturing and Construction Supervisors",Construction Supervisors
1024,"Oiler and Greaser, Stationary Engine and Machinery",3131.0700,8161.60,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1025,Nuclear Plant Control Operator,3131.0800,8161.65,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1026,Breaker Tender,3131.0900,8161.70,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1027,Hopper Attendant/Hopper Machine Operator,3131.1000,8161.72,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1028,Load Dispatcher,3131.1100,8161.80,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1029,"Power Production Plant Operators, Other",3131.9900,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1030,"Stationary Engine Driver, Steam",3131.0100,8161.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1031,"Stationary Engine Driver, Internal Combustion",3131.0200,8161.20,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1032,"Turbine Operator, Steam",3131.0300,8161.30,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1033,"Turbine Operator, Hydel",3131.0400,8161.40,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1034,Power Plant Operator,3131.0500,8161.45,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1035,Electrical Switch Board Operator,3131.0600,8161.50,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Power Production Plant Operators
1036,Exhaust Fan Operator,3132.1100,8169.50,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1037,Blower Operator,3132.1200,8169.60,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1038,Incinerator Operator,3132.1300,8169.65,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1039,"Incinerator and Water Treatment Plant Operators, Other",3132.9900,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1040,Ice Maker,3132.0100,8163.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1041,Reservoir Caretaker,3132.0200,8163.20,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1042,Gas-Compressor Operator,3132.0300,8163.30,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1043,Wastewater Treatment Plant Operator,3132.0400,8163.40,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1044,Heating Plant Superintendent,3132.0500,8163.50,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1045,"Pump Station Operator, Waterworks",3132.0600,8163.60,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1046,Air Compressor Operator,3132.0700,8169.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1047,Ammonia Compressor Attendant,3132.0800,8169.20,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1048,Air Conditioning and Refrigeration Plant Attendant,3132.0900,8169.30,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1049,Pumpman,3132.1000,8169.40,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Incinerator and Water Treatment Plant Operators
1050,"Process Man, Chemical",3133.0100,8152.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1051,Furnace Operator (Chemical),3133.0200,8152.60,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1052,Boiling Tub Operator (Chemical),3133.0300,8152.65,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1053,"Batch Still Operator, Chemical",3133.0400,8154.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1054,"Continuous Still Operator, Chemical",3133.0500,8154.20,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1055,"Bleaching Operator, Chemical",3133.0600,8159.30,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1056,Chemical Process Operator (Radioactive Materials),3133.0700,8159.50,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1057,Hot Cell Technician,3133.0800,8159.52,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1058,"Chemical Processing Plant Controllers, Other",3133.9900,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Chemical Processing Plant Controllers
1059,Control Man (Petroleum Refining),3134.0400,8155.40,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1060,Blender (Petroleum Refining),3134.0500,8155.50,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1061,Paraffin Plant Operator (Petrol Refining),3134.0600,8155.60,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1062,Pump Station Operator,3134.0700,8155.70,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1063,Treating Plant Operator,3134.0800,8155.75,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1064,"Petroleum Refining Workers, Other",3134.9900,8155.90,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1065,"Continuous Still Operator, Petroleum",3134.0100,8155.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1066,Still Man Gas Plant/Gas Plant Operator (Petrol Refining),3134.0200,8155.20,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1067,Pump Man (Petroleum Refining),3134.0300,8155.30,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Petroleum and Natural Gas Refining Plant Operators
1068,"Operator, Hot Rolling Mill (Non-Ferrous Metal)/Mill Operator",3135.1900,8122.28,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1069,"Roller, Hot Rolling Mill (Non-Ferrous Metal)/Mill Operator",3135.2000,8122.32,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1070,Fluid Management Operator Rolling Mills,3135.2001,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1071,Process Operator Rolling Mills,3135.2002,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1072,Coil Packaging Machine Operator Rolling Mills,3135.2003,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1073,"Operator, Strip Mill (Non-Ferrous Metal)",3135.2300,8122.42,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1074,Mixerman,3135.0500,8121.30,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1075,Seamless Pipe and Tube Roller,3135.2500,8122.46,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1076,Convertor Blower/Convertor Blower Technician,3135.0600,8121.35,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1077,"Furnace Man, Reverberatory, Pulverised Coal Fired",3135.2600,8122.48,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1078,Convertor Man/Convertor Blower Technician,3135.0700,8121.40,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1079,Heat Treatment Shop Supervisor,3135.3001,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1080,Furnace Operator (Non-Ferrous Metal),3135.0900,8121.47,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1081,Centrifugal Casting Machine Operator,3135.3100,8122.72,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1082,"Furnace Operator, Open Hearth",3135.1100,8121.55,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1083,"Control Man, Billet/Process Controller",3135.3900,8124.10,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1084,"Furnace Operator, Second Hand, Open Hearth",3135.1200,8121.60,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1085,"Metal Production Process Controllers, Other",3135.9900,8121.90,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1086,Furnace Operator (Smelting & Refining),3135.1300,8121.70,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1087,Shift In-Charge Furnace Ferro Alloys,3135.1401,,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1088,"Roller, Merchant Mill/Mill Operator",3135.1700,8122.16,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1089,"Roller, Sheet Mill/Mill Operator",3135.1800,8122.20,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Metal Production Process Controllers
1090,"Calenderman, Paper",3139.0500,8143.65,Technicians and Associate Professionals,Science and Engineering Associate Professionals,Process Control Technicians,Process Control Technicians Not Elsewhere Classified
